key,screen,status,placeholders,source,translation
%@ has watched %lld agent runs on my Mac and kept it awake for %@ of them.,Statistics,translated,%@ %lld %@,%@ watched %lld agent runs on my Mac and kept it awake for %@.,%@ 在我的 Mac 上监视了 %lld 次智能体运行，并让它保持唤醒 %@。
"%@ held, %@ away",Statistics,translated,%@ %@,"%@ awake, %@ away",唤醒 %@，离开 %@
"%@ kept my Mac awake for %@ while I was away from it, and saved %lld agent runs that would otherwise have died when the Mac went to sleep.",Statistics,translated,%@ %@ %lld,%@ kept my Mac awake for %@ while I was away and saved %lld agent runs from being interrupted by sleep.,%@ 在我离开期间让 Mac 保持唤醒 %@，保住了 %lld 次智能体运行，使它们不被睡眠打断。
"%@ kept my Mac awake for %@ while I was away from it, and saved 1 agent run that would otherwise have died when the Mac went to sleep.",Statistics,translated,%@ %@,%@ kept my Mac awake for %@ while I was away and saved 1 agent run from being interrupted by sleep.,%@ 在我离开期间让 Mac 保持唤醒 %@，保住了 1 次智能体运行，使它不被睡眠打断。
%@ panel,Panel,translated,%@,%@ panel,%@ 面板
%@ · %@,"App, Panel",needs_review,%@ %@,%@ · %@,%@ · %@
%@ · %lld agents,Panel,translated,%@ %lld,%@ · %lld agents,%@ · %lld 个智能体
%@ · 1 agent,Panel,translated,%@,%@ · 1 agent,%@ · 1 个智能体
"%@, %@",Panel,translated,%@ %@,"%@, %@",%@，%@
"%@, %@, for %@",Panel,translated,%@ %@ %@,"%@, %@, for %@",%@，%@，持续 %@
%lld hours,Panel,translated,%lld,%lld hours,%lld 小时
%lld hours %lld minutes,Panel,translated,%lld %lld,%lld hours %lld minutes,%lld 小时 %lld 分钟
%lld minutes,Panel,translated,%lld,%lld minutes,%lld 分钟
%lld more,Panel,translated,%lld,%lld more,还有 %lld 个
%lld seconds,Panel,translated,%lld,%lld seconds,%lld 秒
"%lld sessions in total, including subagents",Panel,translated,%lld,"%lld sessions in total, including subagents",共 %lld 个会话，包括子智能体
%lld subagents,Panel,translated,%lld,%lld subagents,%lld 个子智能体
